Project Type,2015,2016,2017,2018,2019,2020,2021
ES,"129,240","132,279","133,092","138,156","136,060","118,997","105,385"
SH,176,204,128,109,62,0,0
TH,"5,824","4,619","4,010","4,176","1,513","1,153",864
