Federal Fiscal Year,Federal Fiscal Year,Federal Fiscal Year,Federal Fiscal Year,Federal Fiscal Year,Federal Fiscal Year,Federal Fiscal Year
2015,2016,2017,2018,2019,2020,2021
92.80%,93.50%,94.80%,95.60%,95.70%,96.40%,96.60%
