HUD CoC Number,2015,2016,2017,2018,2019,2020,2021
GA-508,0.108,0.186,0.202,0.216,0.144,0.283,0.233
GU-500,0.194,0.083,0.107,0.25,0.048,0.25,0.053
HI-500,0.031,0.063,0.074,0.209,0.249,0.036,0.074
HI-501,0.212,0.223,0.245,0.193,0.145,0.204,0.108
IA-500,0.286,0.317,0.337,0.363,0.25,0.343,0.316
IA-501,0.291,0.274,0.247,0.26,0.241,0.231,0.178
IA-502,0.277,0.241,0.243,0.196,0.241,0.281,0.202
ID-500,0.222,0.189,0.13,0.289,0.258,0.344,0.254
ID-501,0.284,0.239,0.302,0.175,0.333,0.302,0.292
IL-500,0.154,0.236,0.315,0.326,0.45,0.078,0.14
IL-501,0.227,0.361,0.15,0.217,0.164,0.131,0.244
IL-502,0.217,0.271,0.367,0.296,0.133,0.096,0.065
IL-503,0.156,0.174,0.25,0.111,0,0,0.276
IL-504,0,0,0.067,0.043,0.073,0.071,0.174
IL-506,0.107,0,0.208,0.151,0.299,0.185,0.111
IL-507,0.065,0.133,0.105,0.104,0.131,0.071,0.14
IL-508,0.285,0.032,0.148,0.229,0.14,0.07,0.143
IL-509,0,0.125,,,,,
IL-510,0.167,0.201,0.159,0.147,0.125,0.116,0.091
IL-511,0.207,0.149,0.256,0.166,0.257,0.216,0.136
IL-512,0.166,0.237,0.387,0.12,0.212,0.217,0.4
IL-513,0.296,0.238,0.244,0.179,0.25,0.375,0.115
IL-514,0.527,0.286,0.341,0.261,0.315,0.276,0.208
IL-515,0.25,0.125,0.093,0.286,0.217,0.176,0.2
IL-516,0.162,0.2,0.143,0.241,0.098,0.067,0.085
IL-517,0.213,0.273,0.4,0.244,0.174,0.094,0.292
IL-518,,0.149,0.17,0.154,0.053,0.091,0
IL-519,0.318,0.263,0.111,0.286,0.385,0.353,0.214
IL-520,0.227,0,0.105,0.136,0.202,0.2,0.149
IN-500,0.206,0.197,,,,,
IN-502,0.314,0.221,0.203,0.176,0.134,0.148,0.122
IN-503,0.17,0.167,0.172,0.177,0.22,0.176,0.136
KS-502,0.177,0.227,0.142,0.094,0.105,0.149,0.126
KS-503,0.16,0.191,0.11,0.068,0.04,0.097,0.106
KS-505,0.109,0.199,0.33,0.434,0.474,0.333,0.381
KS-507,0.175,0.229,0.124,0.183,0.194,0.332,0.241
KY-500,0.159,0.207,0.17,0.211,0.188,0.152,0.107
KY-501,0.193,0.136,0.16,0.124,0.139,0.115,0.117
KY-502,0.028,0.364,0.211,0.169,0.078,0.134,0.105
LA-500,0.192,0.153,0.203,0.156,0.108,0.061,0.14
LA-502,0.136,0.16,0.136,0.078,0.051,0.068,0.14
LA-503,0.17,0.136,0.201,0.145,0.179,0.148,0.16
LA-505,0.255,0.241,0.174,0.178,0.114,0.237,0.222
LA-506,0.185,0.143,0.184,0.238,0.268,0.39,0.19
LA-507,0.12,0.25,0.159,0.163,0.144,0.101,0.095
LA-508,0,0,,,,,
LA-509,,0.376,0.192,0,0.082,0.081,0.074
MA-500,0,0.341,0.161,0.197,0.08,0.072,0.065
MA-502,0.053,0,0,0.25,0.25,,0.045
MA-503,0,0.13,0.063,0.03,0,0,0.216
MA-504,0.14,0.041,0.18,0.078,0.25,0.155,0.122
MA-505,0.327,0.287,0.179,0.226,0.115,0.132,0.204
MA-506,0.101,0.072,0.093,0.063,0.094,0.09,0.065
MA-507,0.229,0.224,0.188,0.151,0.098,0.105,0.125
MA-508,,0.5,0.133,0.171,,,
MA-509,0.143,0.367,0.1,0,0.167,0.206,0.219
MA-510,0.182,0,0.103,0.429,0.133,,
MA-511,0.115,0.172,0.057,0.123,0.093,0.079,0.144
MA-515,0.286,0.75,0.154,0.207,0.118,0.1,0.222
MA-516,0.304,0.127,0.145,0.261,0.189,0.107,0.174
MA-517,0.259,0.467,0.283,0.297,,,
MA-519,0.125,0.333,,0.071,0.1,0.214,0
MD-500,,0.085,0.051,0.065,0.083,,
MD-501,0.292,0.247,0.208,0.111,0.179,0.217,0.199
MD-502,0.125,0.25,0.083,0.263,0,0.25,
MD-503,0.203,0.243,0.083,0.152,0.178,0.111,0.033
MD-504,1,0,0.25,0,0.4,0,0.083
MD-505,0.174,0.274,0.118,0.097,0.078,0.057,0
MD-506,0.081,0.048,0.081,0.091,0.073,0.111,0
MD-507,,,,,,,
