Federal Fiscal Year,Federal Fiscal Year,Federal Fiscal Year,Federal Fiscal Year,Federal Fiscal Year,Federal Fiscal Year,Federal Fiscal Year
2015,2016,2017,2018,2019,2020,2021
24.60%,25.10%,31.10%,35.70%,38.40%,38.40%,37.50%
