year,coc_number,hmis_counts,so_exits,ph_exits,other_exits,unknown_destinations
2015,MA-509,1721,0.4779,0.95187,0.0455,
2016,MA-509,1560,0.223,0.96169,0.1154,
2017,MA-509,1446,0.3451,0.98054,0.1127,
2018,MA-509,1585,0.4545,0.98054,0.119,
2019,MA-509,1730,0.5874,0.98209,0.1148,0.5
2020,MA-509,1448,0.6,0.99042,0.1148,0.4785
2021,MA-509,872,0.3743,0.94891,0.1148,0.2809
