Param 2 Return Timeframe,HUD CoC Number,2015,2016,2017,2018,2019,2020,2021
,AL-502,,,,,,,
,AR-505,,,,,,,
,AR-512,,,,,,,
,CA-519,,,,,,,
,CA-523,,,,,,,
,CA-527,,,,,,,
,CA-529,,,,,,,
,CA-530,,,,,,,
,CA-615,,,,,,,
,CT-502,,,,,,,
,FL-517,,,,,,,
,FL-519,,,,,,,
,GA-502,,,,,,,
,IL-516,,,,,,,
,IL-518,,,,,,,
,MA-502,,,,,,,
,MA-503,,,,,,,
,MA-508,,,,,,,
,MA-510,,,,,,,
,MD-502,,,,,,,
,MD-507,,,,,,,
,MD-512,,,,,,,
,MI-503,,,,,,,
,MP-500,,,,,,,
,NJ-512,,,,,,,
,NY-502,,,,,,,
,NY-511,,,,,,,
,NY-513,,,,,,,
,NY-519,,,,,,,
,NY-525,,,,,,,
,OK-506,,,,,,,
,TX-611,,,,,,,
,TX-624,,,,,,,
,VI-500,,,,,,,
0%,AL-506,0.00%,,,,0.00%,0.00%,
0%,AL-507,0.00%,,,0.00%,0.00%,0.00%,0.00%
0%,AR-501,,,,,,0.00%,
0%,AR-505,,,,,,0.00%,
0%,AR-512,,0.00%,,,,,
0%,CA-516,0.00%,0.00%,0.00%,,0.00%,,
0%,CA-519,,0.00%,,,,,
0%,CA-520,,0.00%,,,,,
0%,CA-523,0.00%,0.00%,,0.00%,,,
0%,CA-524,,0.00%,,0.00%,,,
0%,CA-525,0.00%,0.00%,,,,,
0%,CA-527,,0.00%,0.00%,,,,
0%,CA-530,0.00%,0.00%,,,,,
0%,CA-612,,,,0.00%,,,0.00%
0%,FL-517,,,,0.00%,0.00%,0.00%,0.00%
0%,FL-520,0.00%,,,,,,
0%,FL-606,,,,,,0.00%,
0%,IA-500,,0.00%,,,0.00%,,
0%,IL-504,,,,,,,0.00%
0%,IL-509,,0.00%,,,,,
0%,IL-516,,0.00%,,,,,
0%,KS-503,,0.00%,,,,,0.00%
0%,KS-505,,,0.00%,,,,
0%,LA-506,,,0.00%,,,,
0%,MA-515,,,,,,0.00%,
0%,MD-500,,,0.00%,,0.00%,,
0%,MD-504,,0.00%,,,,,
0%,MD-507,,,,,0.00%,,
0%,MD-509,,,,,0.00%,0.00%,
0%,MI-511,,,,,0.00%,,
0%,MI-513,0.00%,,,,,,
0%,MN-504,0.00%,,,,,,
0%,MP-500,,,,0.00%,0.00%,0.00%,0.00%
0%,MS-503,0.00%,,,,,,
0%,NC-511,,,,,,,0.00%
0%,NJ-510,0.00%,,,,,,
0%,NJ-512,0.00%,0.00%,,,,,0.00%
0%,NJ-513,0.00%,,0.00%,,,,
0%,NY-513,,0.00%,0.00%,,,,
0%,NY-516,,,,0.00%,0.00%,,
0%,NY-519,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%
0%,NY-520,0.00%,,,,,,
0%,NY-606,0.00%,0.00%,,,0.00%,0.00%,
0%,NY-607,,,,0.00%,0.00%,,
0%,OK-503,0.00%,0.00%,,,,0.00%,
0%,OK-504,0.00%,0.00%,,,,,
0%,OK-506,,,,,0.00%,,
0%,OK-507,,,,,0.00%,,
0%,OR-507,0.00%,,,,,,
0%,TN-510,,,,0.00%,,,
0%,TX-624,,0.00%,0.00%,0.00%,0.00%,0.00%,
0%,VA-504,0.00%,,,,,,
0%,VI-500,,,,,0.00%,,
0%,NY-507,0.30%,,,,,,
0%,NJ-511,,0.30%,,,,,
0%,LA-505,,,,,,0.30%,
0%,NJ-513,,0.30%,,,,,
0%,IL-508,,,,0.40%,,,
0%,GA-502,,,,0.40%,,,
0%,NJ-507,,,,0.40%,,,
0%,OR-507,,,,,,0.40%,
0%,KS-505,,,,,0.50%,,
0%,OR-507,,,0.50%,,,,
0%,FL-514,,,,,,0.50%,
1%,IA-500,,,,,,0.50%,
1%,NJ-510,,0.50%,,,,,
1%,NY-504,0.50%,,,,,,
1%,OR-507,,0.50%,,,,,
1%,IL-507,,,0.50%,,,,
1%,IA-500,,,0.60%,,,,
1%,NY-504,,,,,0.60%,,
1%,TN-512,,,,,,,0.60%
1%,NJ-511,,,0.60%,,,,
1%,MA-517,,0.70%,,,,,
1%,NY-604,0.70%,,,,,,
1%,MT-500,,,0.70%,,,,
1%,TN-512,,,0.70%,,,,
1%,OR-507,,,,,0.80%,,
1%,TN-503,0.80%,,,,,,
1%,LA-505,,,,0.80%,,,
1%,CA-523,,,,,,0.80%,
1%,CA-527,,,,,,0.80%,
1%,GA-503,0.80%,,,,,,
1%,MD-502,,,,,0.80%,,
1%,NY-504,,0.80%,,,,,
1%,IL-500,0.90%,,,,,,
1%,LA-506,,0.90%,,,,,
1%,MA-516,,,,,0.90%,,
1%,CA-612,,,0.90%,,,,
1%,NJ-502,,0.90%,,,,,
1%,MT-500,,,,,0.90%,,
1%,MO-602,,0.90%,,,,,
1%,CA-516,,,,,,,0.90%
1%,MA-504,,1.00%,,,,,
1%,GA-502,,,,,1.00%,,
1%,GA-502,,,,,,,1.00%
1%,MS-503,,,1.00%,,,,
1%,MA-517,,,1.00%,,,,
1%,MT-500,1.00%,,,,,,
1%,CA-526,1.00%,,,,,,
1%,FL-514,,,,1.00%,,,
1%,MA-507,1.00%,,,,,,
1%,CA-607,,,,,,,1.00%
1%,MN-502,,,,,1.10%,,
1%,MA-504,,,,,,1.10%,
1%,MO-603,,,,,,1.10%,
1%,NY-606,,,,,,,1.10%
1%,NJ-507,,,,,1.10%,,
1%,NJ-511,1.10%,,,,,,
1%,MS-503,,1.10%,,,,,
1%,MN-511,,,,,,1.10%,
1%,MD-508,,1.10%,,,,,
1%,NY-520,,1.10%,1.10%,,,,
1%,IL-503,,,,,,,1.10%
1%,CA-607,,,1.10%,,,,
1%,CA-612,,,,,,1.10%,
1%,IL-504,,,,,,1.10%,
1%,MI-511,,,,,,1.10%,
1%,KS-503,,,,1.20%,,,
1%,NY-504,,,1.20%,,,,
1%,CA-607,,,,,,1.20%,
1%,MA-519,,,,1.20%,,,
1%,ID-500,,,,1.30%,,,
1%,TN-510,,,,,,1.30%,
1%,KS-507,,,,,,1.30%,
1%,TN-507,,1.30%,,,,,
1%,CA-516,,,,1.30%,,,
1%,NJ-511,,,,1.30%,,,
1%,GA-508,,,,,,1.30%,
1%,CA-607,,,,1.30%,,,
1%,CA-526,,,,1.30%,,,
1%,TN-506,,,,1.30%,,,
1%,MN-502,,1.30%,,,,,
1%,OK-504,,,,1.30%,,,
1%,OK-507,,,,,,,1.30%
1%,TN-506,,,1.30%,,,,
1%,NJ-513,,,,,,1.30%,
1%,TX-701,,,,,1.40%,,
1%,NJ-507,,,1.40%,,,,
1%,TN-507,,,1.40%,,,,
1%,MD-509,1.40%,,,,,,
1%,OK-503,,,,,,,1.40%
1%,PA-511,,,,1.40%,,,
1%,MA-510,,,,,1.40%,,
1%,PA-603,,1.40%,,,,,
1%,TN-512,,,,,,1.40%,
1%,MA-504,,,1.40%,,,,
1%,IL-520,1.40%,,,,,,
1%,LA-503,,,,,,,1.40%
1%,NY-518,,,1.40%,,,,
1%,MN-508,,1.40%,,,,,
1%,OR-507,,,,1.40%,,,
1%,MD-500,,,,1.40%,,,
1%,NJ-510,,,,1.40%,,,
1%,GA-503,,,,,1.50%,,
1%,MD-506,1.50%,,,,,,
2%,MA-516,,1.50%,,,,,
2%,NC-511,1.50%,,,,,,
2%,CA-611,,,,,,1.50%,
2%,MT-500,,,,1.50%,,,
2%,TN-507,,,,1.50%,,,
2%,MA-515,,,,,1.50%,,
2%,NJ-508,,,,,1.60%,,
2%,MN-502,1.60%,,,,,,
2%,MN-504,,1.60%,,,,,
2%,MS-501,,,,,1.60%,,
2%,FL-520,,,,,,,1.60%
2%,PA-509,1.60%,,,,,,
2%,TN-507,,,,,,,1.60%
2%,MD-508,,,1.60%,,,,
2%,MO-602,1.60%,,,,,,
2%,CA-527,,,,,,,1.60%
2%,PA-501,,,,,1.60%,,
2%,MT-500,,1.70%,,,,,
2%,TN-507,1.70%,,,,,,
2%,MD-512,,,1.70%,,,,
2%,MN-504,,,,,,,1.70%
2%,VA-501,,1.70%,,,,,
2%,MT-500,,,,,,1.70%,
2%,MA-504,1.70%,,,,,,
2%,PA-501,,,,,,,1.70%
2%,OR-506,,,,1.70%,,,
2%,KS-503,,,,,,1.70%,
2%,TN-506,,,,,1.70%,,
2%,CA-606,,,,,,1.70%,
2%,MA-516,,,1.70%,,,,
2%,CA-527,,,,1.80%,,,
2%,IL-508,,,1.80%,,,,
2%,AK-501,,1.80%,,,,,
2%,FL-519,1.80%,,,,,,
2%,NJ-508,,,,,,1.80%,
2%,MA-515,,,,1.80%,,,
2%,MA-505,,,,,,1.80%,
2%,CA-526,,1.80%,,,,,
2%,MD-508,,,,,1.90%,,
2%,OK-502,1.90%,,,,,,
2%,KS-503,,,,,1.90%,,
2%,GU-500,,,,1.90%,,,
2%,CA-527,,,,,1.90%,,
2%,VA-508,,,,,,,1.90%
2%,MA-510,,,1.90%,,,,
2%,PA-511,,,1.90%,,,,
2%,NJ-502,,,1.90%,,,,
2%,MA-504,,,,,1.90%,,
2%,TN-506,,1.90%,,,,,
2%,CA-611,,,,1.90%,,,
2%,MA-504,,,,,,,2.00%
2%,NC-513,,,2.00%,,,,
2%,NY-516,,2.00%,,,,,
2%,OR-502,2.00%,,,,,,
2%,OR-505,,2.00%,,,,,
2%,IA-500,,,,,,,2.00%
2%,IL-515,,,,,,2.00%,
2%,NY-522,2.00%,,,,,,
2%,MO-603,,,,,2.00%,,
2%,IL-516,,,2.00%,,,,
2%,NJ-501,,,,,2.00%,,
2%,IL-509,2.00%,,,,,,
2%,NJ-511,,,,,,2.00%,
2%,VA-507,2.10%,,,,,,
2%,GA-501,,,,,2.10%,,
2%,IL-515,,,,,2.10%,,
2%,NJ-504,,2.10%,,,,,
2%,MD-504,,,,2.10%,,,
2%,CA-611,2.10%,,,,,,
2%,MD-512,,2.10%,,,,,
2%,MA-504,,,,2.10%,,,
2%,MD-509,,,,2.10%,,,
2%,TN-503,,2.10%,,,,,
2%,OK-503,,,,,2.10%,,
2%,PA-501,,2.10%,2.10%,,,,
2%,MA-502,,,2.20%,,,,
2%,MI-523,,2.20%,,,,,
2%,GA-508,,,,2.20%,,,
2%,MA-516,,,,,,,2.20%
2%,NJ-511,,,,,2.20%,,
2%,IL-508,,,,,,2.20%,
2%,LA-505,,,,,,,2.20%
2%,PA-501,2.20%,,,,,,
2%,MS-501,,,,,,2.20%,
2%,CA-516,,,,,,2.20%,
2%,MS-501,,,,,,,2.20%
2%,CA-523,,,,,,,2.20%
2%,OR-506,,,,,,2.30%,
2%,CA-606,2.30%,,,,,,
2%,MD-514,,,,,,2.30%,
2%,AL-507,,2.30%,,,,,
2%,MA-519,,2.30%,,,,,
2%,MA-519,,,,,,,2.30%
2%,MD-600,2.30%,,,,,,
2%,NJ-501,,2.30%,,,,,
2%,CA-612,2.30%,,,,,,
2%,MD-507,,2.30%,,,,,
2%,MO-606,2.30%,,,,,,
2%,MO-503,,,,,,,2.40%
2%,TX-701,,2.40%,,,,,
2%,MA-502,,2.40%,,,,,
2%,GA-502,,,2.40%,,,,
2%,NJ-504,2.40%,,,,,,
2%,NJ-510,,,,,,,2.40%
2%,FL-605,,2.40%,,,,,
2%,NC-511,,,,,2.40%,,
2%,PA-511,,,,,2.40%,,
2%,CA-530,,,,,,,2.40%
2%,NJ-507,,,,,,2.40%,
2%,TN-507,,,,,2.40%,,
2%,MN-511,,2.40%,,,,,
2%,IL-503,,,,,2.40%,,
2%,KS-503,,,2.40%,,,,
2%,MD-507,,,,2.40%,,,
2%,NY-606,,,2.40%,,,,
2%,GA-506,,,,,,,2.40%
2%,WA-501,2.40%,,,,,,
2%,MD-600,,,,2.50%,,,
2%,MT-500,,,,,,,2.50%
2%,MO-503,,,,,2.50%,,
2%,PA-502,,,,,2.50%,,
3%,MA-505,,2.50%,,,,,
3%,MA-509,,,2.50%,,,,
3%,MA-517,,,,2.50%,,,
3%,OR-504,,,,,,2.50%,
3%,NY-511,,2.50%,,,,,
3%,OK-500,,,,,2.50%,,
3%,VA-600,,,,,,2.60%,
3%,SC-503,,,,,,,2.60%
3%,MS-503,,,,,,2.60%,
3%,IL-504,,,,,2.60%,,
3%,MA-519,,,2.60%,,,,
3%,NJ-516,2.60%,,,,,,
3%,MA-517,2.60%,,,,,,
3%,MN-509,2.60%,,,,,,
3%,NJ-508,,2.60%,,,,,
3%,PA-509,,2.60%,,,,,
3%,MA-515,,,,,,,2.60%
3%,CA-612,,,,,2.60%,,
3%,MA-516,2.60%,,,,,,
3%,CA-508,2.60%,,,,,,
3%,PA-600,,,,2.60%,,,
3%,FL-514,,,2.60%,,,,
3%,NJ-511,,,,,,,2.60%
3%,IL-501,,2.60%,,,,,
3%,MA-515,,,2.60%,,,,
3%,MD-600,,,2.60%,,,,
3%,MN-504,,,,,2.70%,,
3%,NY-520,,,,,,,2.70%
3%,TN-506,2.70%,,,,,,
3%,OK-507,,,,2.70%,,,
3%,IL-507,,,,2.70%,,,
3%,ND-500,2.70%,,,,,,
3%,KS-505,,,,,,,2.70%
3%,LA-505,,,,,2.70%,,
3%,NJ-509,,2.70%,,,,,
3%,MI-518,,,,,,,2.70%
3%,CA-607,2.70%,,,,,,
3%,TX-624,,,,,,,2.70%
3%,GA-508,,,,,2.70%,,
3%,IL-500,,,,,,2.70%,
3%,TX-604,,,,2.70%,,,
3%,IL-504,,,,2.80%,,,
3%,NY-604,,2.80%,,,,,
3%,FL-606,,,,,2.80%,,
3%,GA-505,,,,,,,2.80%
3%,VA-513,2.80%,,,,,,
3%,NJ-514,,,2.80%,,,,
3%,LA-503,,,,,2.80%,,
3%,NC-511,,,,,,2.80%,
3%,MI-523,,,2.80%,,,,
3%,NY-510,,2.80%,,,,,
3%,PA-508,,2.80%,,,,,
3%,LA-503,,,2.80%,,,,
3%,OK-503,,,2.80%,,,,
3%,MA-519,,,,,,2.80%,
3%,TX-600,2.80%,,,,,,
3%,CA-506,,2.90%,,,,,
3%,IL-504,,,2.90%,,,,
3%,MD-502,2.90%,,,,,,
3%,NY-522,,,,,2.90%,,
3%,NJ-513,,,,2.90%,,,
3%,MN-508,,,2.90%,,,,
3%,CA-611,,,,,2.90%,,
3%,LA-506,,,,,,,2.90%
3%,NJ-510,,,2.90%,,,,
3%,LA-507,,,2.90%,,,,
3%,WA-504,,2.90%,,,,,
3%,IL-504,,2.90%,,,,,
3%,MO-503,2.90%,,,,,,
3%,GA-503,,,,,,,2.90%
3%,MN-511,2.90%,,,,,,
3%,MS-503,,,,2.90%,2.90%,,
3%,NV-502,,,,2.90%,,,
3%,CA-508,,,2.90%,,,,
3%,CA-513,3.00%,,,,,,
3%,LA-506,,,,3.00%,,,
3%,MN-503,,,3.00%,,,,
3%,TN-506,,,,,,3.00%,
3%,FL-509,3.00%,,,,,,
3%,LA-506,,,,,,3.00%,
3%,CA-614,,3.00%,,,,,
3%,MA-519,,,,,3.00%,,
3%,MD-510,,3.00%,,,,,
3%,NY-516,3.00%,,,,,,
3%,MD-512,,,,,3.00%,,
3%,TX-701,,,,,,3.00%,
3%,OR-506,,,,,3.00%,,
3%,CA-607,,,,,3.00%,,
3%,OR-505,,,,,,3.00%,
3%,GA-508,,,,,,,3.00%
3%,MO-500,,3.00%,,,,,
3%,VA-501,,,3.00%,,,,
3%,MA-516,,,,,,3.00%,
3%,IL-500,,,,,,,3.00%
3%,VA-513,,,,,,3.00%,
3%,MI-511,,,,,,,3.00%
3%,MS-501,,,3.00%,,,,
3%,VT-501,3.00%,,,,,,
3%,FL-504,,,,,,,3.00%
3%,LA-509,,,,,,,3.00%
3%,OR-502,,3.10%,,,,,
3%,MD-511,,,,,,,3.10%
3%,OK-502,,,,,,3.10%,
3%,VA-602,,3.10%,,,,,
3%,MD-600,,,,,,3.10%,
3%,PA-502,,,,3.10%,,,
3%,PA-600,,,,,3.10%,,
3%,PA-511,3.10%,,,,,,
3%,CO-505,,,,,,3.10%,
3%,MO-500,,,,,,,3.10%
3%,IL-502,,,,,,3.10%,
3%,IL-503,,,,3.10%,,,
3%,CO-505,,,,,3.10%,,
3%,VA-513,,3.10%,,,,,
3%,NY-513,,,,3.10%,,,
3%,PA-502,,,,,,,3.10%
3%,PA-512,,,,,3.10%,,
3%,CA-526,,,3.20%,,,,
3%,KS-505,,,,,,3.20%,
3%,MA-507,,,3.20%,,,,
3%,NY-501,3.20%,,,,,,
3%,CA-602,3.20%,,,,,,
3%,MS-503,,,,,,,3.20%
3%,MN-508,3.20%,,,,,,
3%,NJ-514,,3.20%,,,,,
3%,MN-502,,,3.20%,,,,
3%,MN-501,,3.20%,,,,,
3%,NJ-501,3.20%,,,,,,
3%,NY-522,,3.20%,,,,,
3%,CO-505,,,,,,,3.20%
3%,OK-502,,3.20%,,,,,
3%,MS-500,,,,3.20%,,,
3%,NJ-504,,,3.20%,,,,
3%,GA-508,,,3.20%,,,,
3%,MN-508,,,,,,3.20%,
3%,MO-603,,,,,,,3.20%
3%,TN-510,3.20%,3.20%,,,,,
3%,NJ-515,,3.20%,,,,,
3%,MN-503,3.30%,,,,,,
3%,NJ-507,,,,,,,3.30%
3%,NY-522,,,,,,3.30%,
3%,IL-504,3.30%,,,,,,
3%,NJ-501,,,,,,,3.30%
3%,AL-506,,,3.30%,,,,
3%,OR-502,,,,,,3.30%,
3%,IL-518,,,3.30%,,,,
3%,NY-518,,3.30%,,,,,
3%,HI-500,,,,,,,3.30%
3%,MS-501,,,,3.30%,,,
3%,MI-511,,,,3.30%,,,
3%,SC-501,,,3.30%,,,,
3%,MA-503,,,,,,,3.30%
3%,CA-524,,,,,3.30%,,
3%,NJ-502,3.30%,,,,,,
3%,NY-510,,,3.30%,,,,
3%,OK-504,,,,,,3.30%,
3%,SC-501,,,,3.30%,,,
3%,OK-502,,,,,,,3.30%
3%,NY-518,3.30%,,,,,,
3%,CA-606,,,,,,,3.30%
3%,CA-606,,3.30%,,,,,
3%,TN-504,3.40%,,,,,,
3%,TN-507,,,,,,3.40%,
3%,FL-602,,,,,,3.40%,
3%,FL-503,,,,3.40%,,,
3%,VA-502,3.40%,,,,,,
3%,NJ-508,,,,,,,3.40%
3%,NJ-514,,,,,3.40%,,
3%,VA-501,,,,3.40%,,,
3%,TN-510,,,,,,,3.40%
3%,LA-506,,,,,3.40%,,
3%,VA-505,,,,3.40%,,,
3%,FL-519,,,,,3.40%,,
3%,GA-502,,,,,,3.40%,
3%,PA-509,,,,,3.40%,,
3%,NJ-501,,,,,,3.40%,
3%,MA-516,,,,3.40%,,,
3%,IL-501,3.40%,,,,,,
3%,IL-519,3.40%,,,,,,
3%,OR-505,,,3.50%,,,,
3%,PA-500,,,3.50%,,,,
3%,TN-512,,3.50%,,,,,
3%,MN-506,3.50%,,,,,,
3%,NY-511,,,,3.50%,,,
3%,MA-505,,,,3.50%,,,
3%,LA-503,,,,,,3.50%,
3%,MI-502,,,,3.50%,,,
4%,NC-509,,,,,,,3.50%
4%,FL-510,,,,,3.50%,,
4%,VA-504,,3.50%,,,,,
4%,CA-611,,,3.50%,,,,
4%,MA-502,3.50%,,,,,,
4%,GA-501,,,,3.50%,,,
4%,MD-502,,3.50%,,,,,
4%,CA-518,,,,,,3.50%,
4%,NY-512,,,,,,3.50%,
4%,MA-505,,,,,,,3.50%
4%,IL-515,,,,,,,3.60%
4%,TN-503,,,3.60%,,,,
4%,MI-523,,,,3.60%,,,
4%,CA-501,,3.60%,,,,,
4%,IL-508,,,,,,,3.60%
4%,MN-504,,,,,,3.60%,
4%,MO-500,,,,,,3.60%,
4%,NJ-503,3.60%,,,,,,
4%,MD-508,,,,3.60%,,,
4%,VA-513,,,,,,,3.60%
4%,VA-501,3.60%,,,,,,
4%,NV-502,3.60%,,,,,,
4%,MA-507,,3.60%,,,,,
4%,CA-614,,,,3.60%,,,
4%,SC-500,3.60%,,,,,,
4%,MA-505,,,3.60%,,,,
4%,NJ-514,,,,3.60%,,,
4%,VA-505,,3.60%,,,,,
4%,FL-605,3.60%,,,,,,
4%,PA-502,,,,,,3.60%,
4%,CA-524,,,3.70%,,,,
4%,MA-519,3.70%,,,,,,
4%,IA-500,,,,3.70%,,,
4%,PA-502,,3.70%,,,,,
4%,MD-506,,,,3.70%,,,
4%,MA-505,3.70%,,,,,,
4%,MN-511,,,3.70%,,,,
4%,MN-508,,,,3.70%,,,
4%,CA-614,,,,,3.70%,,
4%,CO-505,,,,3.70%,,,
4%,FL-602,,,,3.70%,,,
4%,KS-505,,,,3.70%,,,
4%,OK-507,,,,,,3.70%,
