Param 2 Return Timeframe,HUD CoC Number,2015,2016,2017,2018,2019,2020,2021
4%,PR-503,3.70%,,,,,,
4%,VA-513,,,3.70%,,,,
4%,PA-502,,,3.70%,,,,
4%,ID-500,,,3.70%,,,,
4%,NJ-508,,,,3.70%,,,
4%,MA-508,,,,3.70%,,,
4%,MD-600,,,,,3.70%,,
4%,PA-509,,,3.80%,,,,
4%,NY-522,,,,3.80%,,,
4%,OR-506,,,,,,,3.80%
4%,MN-501,3.80%,,,,,,
4%,MA-508,,,3.80%,,,,
4%,NY-522,,,3.80%,,,,
4%,NY-510,3.80%,,,,,,
4%,CA-614,,,,,,,3.80%
4%,CA-526,,,,,3.80%,,
4%,MD-504,3.80%,,,,,,
4%,FL-513,,,,,,,3.80%
4%,OH-508,3.80%,,,,,,
4%,MD-500,,3.80%,,,,,
4%,PA-600,,,3.90%,,,,
4%,MN-511,,,,3.90%,,,
4%,NY-525,,,,,3.90%,,
4%,OR-506,3.90%,,,,,,
4%,MN-502,,,,3.90%,,,
4%,PA-509,,,,3.90%,,,
4%,NJ-500,,3.90%,,,,,
4%,NJ-513,,,,,3.90%,,
4%,VA-508,,,,,3.90%,,
4%,IL-512,,,,,,3.90%,
4%,GA-502,,3.90%,,,,,
4%,LA-503,,,,3.90%,,,
4%,GA-503,,,,3.90%,,,
4%,TX-604,,,,,3.90%,,
4%,OR-506,,,3.90%,,,,
4%,PA-511,,3.90%,,,,,
4%,OK-500,3.90%,,,,,,
4%,MO-604M,,,,,,3.90%,
4%,NJ-515,,,,,,3.90%,
4%,TX-701,,,,,,,3.90%
4%,MO-604M,,,,,,,3.90%
4%,PA-601,,,,,,,3.90%
4%,IA-500,3.90%,,,,,,
4%,PA-508,,,,3.90%,,,
4%,MI-502,,3.90%,,,,,
4%,MO-501,,,,4.00%,,,
4%,FL-505,,4.00%,,,,,
4%,IL-515,,,4.00%,,,,
4%,NC-513,,,,,,4.00%,
4%,MN-504,,,,4.00%,,,
4%,FL-505,4.00%,,,,,,
4%,CA-501,4.00%,,,,,,
4%,MO-606,,4.00%,,,,,
4%,CA-520,,,,,,,4.00%
4%,VT-501,,,,,4.00%,,
4%,OR-505,,,,,4.00%,,
4%,TN-501,4.00%,,,,,,
4%,VT-500,4.00%,,,,,,
4%,MN-506,,4.00%,,,,,
4%,TN-500,,,4.00%,,,,
4%,VA-501,,,,,4.00%,,
4%,IL-512,4.00%,,,,,,
4%,ID-500,,,,,,4.00%,
4%,HI-501,,,,,,4.00%,
4%,NJ-516,,,,4.00%,,,
4%,MD-509,,,4.10%,,,,
4%,IL-518,,,,,,4.10%,
4%,GU-500,,,4.10%,,,,
4%,NJ-515,4.10%,,,,,,
4%,IL-518,,,,,4.10%,,
4%,NC-513,,4.10%,,,,,
4%,VA-521,,,,,,,4.10%
4%,PR-503,,,4.10%,,,,
4%,MN-511,,,,,,,4.10%
4%,PA-508,,,,,4.10%,,
4%,GA-506,,,,,,4.10%,
4%,NY-525,,,,,,4.10%,
4%,FL-510,,4.10%,,,,,
4%,MI-517,,,,,4.10%,,
4%,GA-506,,,,4.10%,,,
4%,MN-503,,,,,,,4.10%
4%,FL-603,,,,,,4.10%,
4%,MA-509,4.10%,,,,,,
4%,PA-510,,,4.10%,,,,
4%,MD-512,,,,4.10%,,,
4%,CA-603,,,,,,,4.10%
4%,CA-611,,,,,,,4.10%
4%,CA-510,,4.10%,,,,,
4%,GA-503,,,,,,4.10%,
4%,VT-501,,,,,,4.10%,
4%,MA-507,,,,,4.20%,,
4%,MD-514,,,,,,,4.20%
4%,NJ-514,4.20%,,,,,,
4%,AR-512,4.20%,,,,,,
4%,LA-507,,,,4.20%,,,
4%,PA-601,,,,,4.20%,,
4%,VA-508,,,,4.20%,,,
4%,IL-503,,,,,,4.20%,
4%,FL-602,,,,,4.20%,,
4%,HI-500,,,,,,4.20%,
4%,NC-511,,,,4.20%,,,
4%,NY-607,,4.20%,,,,,
4%,FL-603,,,,,,,4.20%
4%,CO-500,,,,,,4.20%,
4%,VT-501,,,,4.20%,,,
4%,KS-507,,,,,,,4.20%
4%,PA-509,,,,,,,4.20%
4%,CA-530,,,,,4.30%,,
4%,CA-606,,,,,4.30%,,
4%,TN-500,,,,,,4.30%,
4%,SC-503,,,,,,4.30%,
4%,NY-507,,4.30%,,,,,
4%,NJ-514,,,,,,4.30%,
4%,FL-503,,,,,,4.30%,
4%,IL-501,,,4.30%,,,,
4%,FL-603,,,,,4.30%,,
4%,OR-504,,,,,4.30%,,
4%,PA-504,,4.30%,,,,,
4%,MA-515,,4.30%,,,,,
4%,NY-520,,,,4.30%,,,
4%,NY-501,,4.30%,,,,,
4%,MN-505,,,4.30%,,,,
4%,VA-507,,4.30%,,,,,
4%,MA-503,,4.30%,,,,,
4%,MN-500,4.30%,,,,,,
4%,PA-603,4.30%,,,,,,
4%,SC-501,,,,,4.30%,,
4%,GA-503,,4.30%,,,,,
4%,NY-503,,,,,,,4.30%
4%,MA-505,,,,,4.30%,,
4%,MI-503,,,,,,4.30%,
4%,FL-520,,,,,,4.30%,
4%,CA-501,,,,,4.30%,,
4%,MA-510,,,,4.30%,,,
4%,AL-503,,,,4.30%,,,
4%,LA-505,,4.30%,,,,,
4%,NJ-512,,,4.30%,,,,
4%,GA-504,,,,,,,4.40%
4%,FL-510,,,4.40%,,,,
4%,GA-504,,4.40%,,,,,
4%,ID-500,,,,,4.40%,,
4%,NJ-500,,,4.40%,,,,
4%,TN-503,,,,,,,4.40%
4%,CA-602,,,4.40%,,,,
4%,PA-500,,,,4.40%,,,
4%,SC-501,,,,,,4.40%,
4%,GA-501,,,,,,4.40%,
4%,IL-500,,,,,4.40%,,
4%,NY-514,,,,,4.40%,,
4%,OK-503,,,,4.40%,,,
4%,MO-602,,,,,,4.40%,
4%,AL-501,,,,,,,4.40%
4%,CA-606,,,,4.40%,,,
4%,IL-512,,,,,4.40%,,
4%,MA-503,,,4.40%,,,,
4%,WA-501,,,,4.40%,,,
4%,TN-509,,,,,,4.40%,
4%,VA-602,,,,,,4.40%,
4%,NY-507,,,4.40%,,,,
4%,NJ-509,4.40%,,,,,,
4%,WA-501,,,,,,4.50%,
4%,NV-502,,,,,,,4.50%
4%,TX-600,,4.50%,,,,,
4%,NH-502,,,4.50%,,,,
5%,MA-510,4.50%,,,,,,
5%,WA-504,,,4.50%,,,,
5%,WA-504,,,,,4.50%,,
5%,VA-508,,,,,,4.50%,
5%,MD-504,,,,,4.50%,,
5%,KY-500,,4.50%,,,,,
5%,WA-507,4.50%,,,,,,
5%,PA-601,,,,,,4.50%,
5%,PA-601,,,4.50%,,,,
5%,CA-514,,4.50%,,,,,
5%,CA-521,4.50%,,,,,,
5%,MD-508,4.50%,,,,,,
5%,MI-502,,,4.50%,,,,
5%,MO-602,,,,,4.50%,,
5%,VA-503,,,4.60%,,,,
5%,VA-521,,,4.60%,,,,
5%,LA-507,4.60%,,,,,,
5%,SC-503,,4.60%,,,,,
5%,PA-506,4.60%,,,,,,
5%,GA-506,,,,,4.60%,,
5%,VT-500,,,,,4.60%,,
5%,NY-516,,,4.60%,,,,
5%,VA-508,,4.60%,,,,,
5%,NY-511,,,4.60%,,,,
