HUD CoC Number,2015,2016,2017,2018,2019,2020,2021
IA-501,0.33,0.55,0.354,0.527,0.834,0.702,0.747
IA-502,0.4,0.457,0.652,0.383,0.452,0.377,0.382
ID-500,,0.375,0.591,0.184,0.029,,0.159
ID-501,,0,0.132,0.33,0.402,,0.245
IL-500,,0.909,0.226,0.016,,,0.478
IL-501,0.635,0.758,0.509,0.497,0.519,0.702,0.634
IL-502,,,0.742,0.74,0.848,0.772,0.825
IL-503,,,,,,,
IL-504,,,,,,,
IL-506,,,,,,,0.697
IL-507,,0.795,0.765,0.769,0.768,0.766,0.591
IL-508,,,,,,,
IL-509,,,,,,,
IL-510,0.404,0.491,0.58,0.578,0.606,0.581,0.736
IL-511,0.349,0.283,0.315,0.479,0.516,0.508,0.622
IL-512,0.348,0.741,0.613,0.767,0.91,0.759,0.592
IL-513,0.836,0.733,0.477,0.716,0.75,0.729,0.609
IL-514,0.739,0.314,0.429,0.5,0.405,0.444,0.589
IL-515,,,,,,,
IL-516,,,,,,,
IL-517,,,,,,,
IL-518,,0.913,0.701,0.8,0.875,0.958,0.549
IL-519,,,,,,1,1
IL-520,,,0.45,0.578,,,0.583
IN-500,0.918,0.596,,,,,
IN-502,0.5,0.375,0.442,0.361,0.307,0.313,0.352
IN-503,0.265,0.298,0.163,0.169,0.142,0.185,0.246
KS-502,0.503,0.335,0.534,0.531,0.61,0.497,0.402
KS-503,,0.535,0.521,0.217,0.691,,
KS-505,0.636,0.862,0.7,0.545,0.808,0.823,0.868
KS-507,0.574,0.718,0.757,0.479,0.71,1,0.611
KY-500,0.421,0.592,0.673,0.667,0.796,0.49,0.759
KY-501,0.727,0.701,0.732,0.834,0.45,0.4,0.345
KY-502,0,1,0.738,0.756,0.326,0.756,0.446
LA-500,0.623,0.438,0.562,0.303,0.464,0.726,0.494
LA-502,0.203,0.255,0.451,0.379,0.275,0.684,0.448
LA-503,0.901,0.942,0.86,0.941,0.949,0.867,0.695
LA-505,0.352,0.721,0.662,0.4,0.907,0.526,0.712
LA-506,,,0.467,0.609,0.724,0.615,0.95
LA-507,0.015,0.168,0.693,0.317,0.41,0.528,0.381
LA-508,,,,,,,
LA-509,,0.465,0.516,0.212,0.767,0.546,0.535
MA-500,0.036,0.061,0.007,0.016,0.126,0.159,0.231
MA-502,,,,,,,0
MA-503,,0.4,0.607,0.466,0.518,0.492,0.63
MA-504,0,0,0.969,0.667,0.64,0.72,1
MA-505,,,,,1,0.891,0.839
MA-506,0.257,0.058,0.261,0.573,0.506,0.582,0.308
MA-507,,,0.217,0.342,0.4,0.588,0.167
MA-508,,,,,,,
MA-509,0.478,0.223,0.345,0.455,0.587,0.6,0.374
MA-510,,,,,,,
MA-511,0.086,0.19,0.615,0.789,0.759,0.694,0.57
MA-515,,,,,,,0.875
MA-516,0,0.043,0.31,0.244,0.153,0.289,0.122
MA-517,,0.089,0.329,1,,,
MA-519,,,,0.167,0,,
MD-500,0.528,,,,,,
MD-501,0.67,0.62,0.464,0.346,0.266,0.279,0.147
MD-502,0.78,0.375,0.667,0.25,0.656,0.427,
MD-503,,,0.924,0.701,0.757,0.607,0.588
MD-504,,,0.611,0.634,0.667,,0.718
MD-505,0.404,0.334,0.187,0.386,0.316,0.196,0.17
MD-506,0.625,0.55,0.424,0.364,0.382,0.276,0.306
MD-507,,,,0.076,,,
MD-508,,,,1,0.766,,
MD-509,0.061,0.156,0.022,0.136,,,0.667
MD-510,,,,,,,
