HUD CoC Number,2019,2020,2021
MO-606,0.011,0.038,0
MS-500,0.32,0.668,0.484
MS-501,0.04,0.026,0.048
MS-503,0.056,0,0
MT-500,0.182,0.108,0.092
NC-500,0,0,0.069
NC-501,0.048,0.008,0.005
NC-502,0.1,0.073,0.053
NC-503,0.155,0.079,0.151
NC-504,0,0.104,0
NC-505,0.039,0.054,0.06
NC-506,0.017,0.008,0
NC-507,0.038,0.131,0.197
NC-511,0,0,0
NC-513,0.041,0.3,0.049
NC-516,0.031,0,0
ND-500,0.08,0.044,0.016
NE-500,0.209,0.151,0.154
NE-501,0.066,0.087,0.055
NE-502,0.064,0.094,0.129
NH-500,0.085,0,0
NH-501,0.111,0.167,0.049
NH-502,0.074,0.006,0.018
NJ-500,0,0.043,0.038
NJ-501,0.08,0.023,0
NJ-502,0.007,0,0
NJ-503,0.05,0.039,0.079
NJ-504,0.09,0.107,0.029
NJ-506,0.036,0.047,0.034
NJ-507,0,0,0.2
NJ-508,0.038,0,0.012
NJ-509,0.016,0.009,0.032
NJ-510,0,0,0
NJ-511,0.13,0.067,0
NJ-512,,,0
NJ-513,0.056,0.128,0.061
NJ-514,0.183,0.158,0.162
NJ-515,0.004,0.057,0.124
NJ-516,0.119,0.112,0.066
NM-500,0.024,0.052,0.037
NM-501,0.086,0.121,0.107
NV-500,0.082,0.12,0.137
NV-501,0.033,0.201,0.141
NV-502,0,0,
NY-500,0.18,0.435,0.216
NY-501,0.059,0.02,0.034
NY-503,0.033,0.042,0.027
NY-505,0.044,0.035,0.072
NY-507,0,0.08,0.026
NY-508,0.084,0.076,0.115
NY-510,0,0.083,0
NY-511,0.086,0.28,0.25
NY-512,0,0,0
NY-513,0.026,0.024,0.368
NY-514,0,0,0.222
NY-516,0,,
NY-518,0,0,0
NY-519,,,0.8
NY-522,0.053,0.111,0.227
NY-523,0,0.048,0.083
NY-525,0,0.155,0.098
NY-600,0.135,0.111,0.151
NY-601,0,0.012,0.013
NY-602,0,0,0
NY-603,0.062,0,0.014
NY-604,0.05,0.03,0.044
NY-608,,0,0
OH-500,0.191,0.169,0.194
OH-501,0,0,0
OH-502,0.009,0.005,0.082
OH-503,0.013,0,0
OH-504,0,0,0
OH-505,0.005,0.021,0.013
OH-506,0.278,0.015,0.488
OH-507,0.018,0.021,0.015
OK-500,0.083,0,0
OK-501,0.399,0.161,0.114
OK-502,0.106,0.016,0.032
OK-503,0.917,0,0
OK-504,0.056,0,0
OK-505,,,0
OR-500,0.016,0.063,0.136
OR-501,0.147,0.196,0.201
OR-502,0.068,0.027,0.035
OR-503,0.076,0.163,0
OR-504,0.591,0.371,0.061
OR-505,0.061,0.225,0.107
OR-506,0.021,0.051,0.058
OR-507,0,0.042,0.067
PA-500,0.021,0.035,0.052
PA-501,0.128,0,0.04
PA-502,0.033,0,0
PA-503,0,0.008,0.025
PA-504,0,0,0
PA-505,0.103,0.104,0.143
PA-506,0.033,0.061,0.048
PA-508,0.042,0,0.017
PA-509,0.141,0.132,0.118
PA-510,0,0,0
PA-511,0.007,0.05,0.086
PA-512,0,0,0
