HUD CoC Number,2019,2020,2021
MO-503,0,0.03,0.15
MO-600,0.09,0.03,0.01
MO-602,0,0.08,0.04
MO-603,0.03,0.05,0.01
MO-604M,0.03,0.05,0.21
MO-606,0.01,0.02,0.06
MP-500,0,0.22,0
MS-500,0.01,0.17,0.6
MS-501,0.03,0.02,0.06
MS-503,0.01,0.05,0.02
MT-500,0.06,0.04,0.05
NC-500,0.03,0.09,0.09
NC-501,0,0.04,0.01
NC-502,0,0.04,0.01
NC-503,0.09,0.07,0.05
NC-504,0,0,0.01
NC-505,0.02,0.03,0.02
NC-506,0,0,0.03
NC-507,0.04,0.01,0.03
NC-509,0.05,0,0.13
NC-511,0,0,0
NC-513,0,0.13,0.03
NC-516,0,0,0.02
ND-500,0.06,0.16,0.11
NE-500,0.02,0.02,0.04
NE-501,0.04,0.03,0.01
NE-502,0,0.11,0.07
NH-500,0.01,0.04,0.06
NH-501,0,0.07,0.14
NH-502,0,0.02,0.1
NJ-500,0.03,0.04,0.11
NJ-501,0,0,0.01
NJ-502,0,0,0
NJ-503,0.06,0.07,0.01
NJ-504,0.02,0.01,0
NJ-506,0.03,0.06,0
NJ-507,0,0,0.01
NJ-508,0.02,0.07,0.07
NJ-509,0.05,0.11,0.06
NJ-510,0,0,0.08
NJ-511,0.03,0,0
NJ-513,0,0.03,0.04
NJ-514,0.03,0.06,0.01
NJ-515,0.05,0.27,0.12
NJ-516,0,0,0.01
NM-500,0.01,0.03,0.02
NM-501,0.02,0.08,0.04
NV-500,0.01,0.06,0.03
NV-501,0.01,0.05,0
NV-502,0.04,0.01,0
NY-500,0.11,0.08,0.05
NY-501,0.01,0,0
NY-503,0.01,0.01,0.01
NY-504,0,,
NY-505,0,0.01,0.02
NY-507,0,0,0.01
NY-508,0.02,0.01,0.06
NY-510,0,0.15,0.16
NY-511,0.08,0.06,0.03
NY-512,0.06,0.04,0.02
NY-513,,0.03,0.29
NY-514,0.1,0,0.4
NY-516,0,,
NY-518,0,0.01,0.03
NY-519,0.19,0.39,0.12
NY-520,0.01,0.02,0.02
NY-522,0.01,0.02,0.07
NY-523,0.01,0.01,0.04
NY-525,0.1,0.11,0.08
NY-600,0.03,0.02,0.01
NY-601,0,0,0
NY-602,0,0,0.11
NY-603,0.02,0.05,0.01
NY-604,0,0.01,0.07
NY-606,0.25,0.1,0
NY-608,0,0,0
OH-500,0.01,0.03,0.02
OH-501,0.27,0.19,0.1
OH-502,0.02,0.01,0.02
OH-503,0.02,0.04,0.04
OH-504,0.33,0.35,0.4
OH-505,0.01,0.01,0.01
OH-506,0.01,0.01,0.02
OH-507,0.02,0.04,0.06
OH-508,0,0.03,0.01
OK-500,0.03,0,0
OK-501,0.05,0.07,0.08
OK-502,0,0,0.03
OK-503,0.06,0.04,0.02
OK-504,0.04,0,0
OK-505,0,0.1,0.22
OK-506,,,0.01
OK-507,0.09,0.14,0.15
OR-500,0.04,0.01,0.03
OR-501,0.04,0.04,0.06
OR-502,0.05,0.05,0.08
OR-503,0.28,0.26,0
OR-504,0.03,0.03,0.06
OR-505,0,0,0.02
OR-506,0.02,0,0.01
OR-507,0.04,0,0.05
PA-500,0.01,0.01,0
PA-501,0,0,0.03
PA-502,0.02,0.02,0
PA-503,0,0.01,0.01
PA-504,0.05,0.02,0.03
PA-505,0.01,0,0
PA-506,0,0,0.01
PA-508,0.01,0.02,0.01
PA-509,0.08,0.02,0.04
PA-510,0.12,0.14,0.13
PA-511,0.04,0.06,0.08
PA-512,0,0,0
PA-600,0.02,0.04,0.04
PA-601,0.04,0.01,0.03
PA-603,0.18,0.1,0.04
PA-605,0,0,0.02
PR-502,0,0.01,0.01
PR-503,0.01,0.01,0
RI-500,0,0,0
SC-500,0.04,0.04,0.09
SC-501,0,0,0
SC-502,0,0.02,0.04
SC-503,0.01,0.03,0.03
SD-500,0.01,0,0.02
TN-500,0,0,0.02
TN-501,0.01,0,0.05
TN-502,0.03,0.04,0.04
TN-503,0.02,0,0.09
TN-504,0.07,0.07,0.07
TN-506,0.33,0.3,0
TN-507,0,0,0
TN-509,0.06,0.02,0.18
TN-510,0.06,0,0.07
TN-512,0.03,0.02,0.04
TX-500,0.01,0.04,0.07
TX-503,0.08,0.05,0.1
TX-600,0.06,0.08,0.4
TX-601,0.02,0.03,0.05
TX-603,0.06,0.12,0.18
TX-604,0.03,0.06,0.09
TX-607,0.03,0.09,0.15
TX-611,,0,0
TX-700,0.01,0.03,0.05
TX-701,0.01,0.13,0
UT-500,0.18,0.17,0.24
UT-503,0.07,0.09,0.11
UT-504,0.01,0,0
VA-500,0.03,0.02,0.02
VA-501,0.03,0.02,0.03
VA-502,0,0,0
VA-503,0.03,0,0.05
VA-504,0.06,0,0.03
VA-505,0,0,0.01
VA-507,0,0,0
VA-508,0.02,0.02,0
VA-513,0,0,0.01
VA-514,0.02,0.14,0.04
VA-521,0.06,0.04,0.02
VA-600,0.01,0.01,0.02
VA-601,0.06,0.05,0.07
VA-602,0.03,0.02,0
VA-603,0.28,0.04,0.14
VA-604,0,0,0
VI-500,0,0,20
VT-500,0.07,0.05,0.05
VT-501,0.01,0.04,0.04
WA-500,0.07,0.11,0.08
WA-501,0.05,0.06,0.08
WA-502,0.03,0.03,0.08
