HUD CoC Number,2015,2016,2017,2018,2019,2020,2021
GA-506,0.392,0.408,0.384,0.426,0.414,0.428,0.354
GA-507,0.216,0.286,0.285,0.268,0.289,0.341,0.455
GA-508,0.365,0.283,0.528,0.412,0.236,0.392,0.371
GU-500,0.29,0.208,0.321,0.35,0.048,0.417,0.105
HI-500,0.538,0.429,0.338,0.414,0.411,0.536,0.574
HI-501,0.489,0.458,0.408,0.318,0.315,0.319,0.276
IA-500,0.418,0.413,0.435,0.488,0.446,0.686,0.421
IA-501,0.392,0.387,0.376,0.364,0.339,0.312,0.259
IA-502,0.388,0.344,0.337,0.316,0.333,0.459,0.34
ID-500,0.537,0.434,0.478,0.398,0.348,0.516,0.413
ID-501,0.421,0.326,0.373,0.284,0.435,0.418,0.395
IL-500,0.359,0.326,0.411,0.419,0.5,0.235,0.326
IL-501,0.345,0.505,0.6,0.55,0.492,0.41,0.467
IL-502,0.483,0.323,0.468,0.426,0.333,0.178,0.109
IL-503,0.234,0.304,0.321,0.333,0.385,0.556,0.552
IL-504,0,0,0.178,0.17,0.22,0.214,0.304
IL-506,0.179,0.267,0.708,0.283,0.463,0.413,0.313
IL-507,0.159,0.229,0.202,0.274,0.31,0.232,0.34
IL-508,0.528,0.032,0.311,0.434,0.3,0.128,0.5
IL-509,0.267,0.125,,,,,
IL-510,0.364,0.394,0.351,0.331,0.341,0.335,0.32
IL-511,0.332,0.269,0.342,0.326,0.418,0.457,0.354
IL-512,0.415,0.521,0.479,0.16,0.242,0.217,0.533
IL-513,0.338,0.381,0.267,0.205,0.321,0.5,0.346
IL-514,0.655,0.571,0.659,0.696,0.722,0.638,0.547
IL-515,0.328,0.156,0.13,0.402,0.287,0.241,0.293
IL-516,0.336,0.4,0.286,0.483,0.268,0.133,0.191
IL-517,0.279,0.377,0.48,0.333,0.478,0.313,0.542
IL-518,,0.277,0.255,0.231,0.158,0.091,0
IL-519,0.5,0.421,0.333,0.429,0.462,0.412,0.357
IL-520,0.227,0.05,0.175,0.227,0.283,0.3,0.297
IN-500,0.288,0.262,,,,,
IN-502,0.513,0.347,0.327,0.35,0.284,0.327,0.324
