Federal Fiscal Year,Federal Fiscal Year,Federal Fiscal Year,Federal Fiscal Year,Federal Fiscal Year,Federal Fiscal Year,Federal Fiscal Year
2015,2016,2017,2018,2019,2020,2021
47.10%,38.70%,40.40%,35.20%,33.40%,34.50%,32.90%
