Param 2 Return Timeframe,HUD CoC Number,2015,2016,2017,2018,2019,2020,2021
,AL-502,,,,,,,
,AR-505,,,,,,,
,AR-512,,,,,,,
,CA-519,,,,,,,
,CA-523,,,,,,,
,CA-527,,,,,,,
,CA-529,,,,,,,
,CA-530,,,,,,,
,CA-615,,,,,,,
,CT-502,,,,,,,
,FL-517,,,,,,,
,FL-519,,,,,,,
,GA-502,,,,,,,
,IL-516,,,,,,,
,IL-518,,,,,,,
,MA-502,,,,,,,
,MA-503,,,,,,,
,MA-508,,,,,,,
,MA-510,,,,,,,
,MD-502,,,,,,,
,MD-507,,,,,,,
,MD-512,,,,,,,
,MI-503,,,,,,,
,MP-500,,,,,,,
,NJ-512,,,,,,,
,NY-502,,,,,,,
,NY-511,,,,,,,
,NY-513,,,,,,,
,NY-519,,,,,,,
,NY-525,,,,,,,
,OK-506,,,,,,,
,TX-611,,,,,,,
,TX-624,,,,,,,
,VI-500,,,,,,,
0%,AL-506,,,,,0.00%,0.00%,
0%,AL-507,0.00%,,,0.00%,0.00%,0.00%,0.00%
0%,AR-505,,,,,,0.00%,
0%,AR-512,,0.00%,,,,,
0%,CA-516,0.00%,0.00%,0.00%,,,,
0%,CA-523,0.00%,0.00%,,0.00%,,,
0%,CA-524,,0.00%,,,,,
0%,CA-525,0.00%,0.00%,,,,,
0%,CA-527,,0.00%,0.00%,,,,
0%,CA-530,0.00%,0.00%,,,,,
0%,CA-612,,,,,,,0.00%
0%,FL-517,,,,0.00%,0.00%,0.00%,0.00%
0%,FL-520,0.00%,,,,,,
0%,FL-606,,,,,,0.00%,
0%,IL-516,,0.00%,,,,,
0%,KS-503,,0.00%,,,,,
0%,MD-500,,,,,0.00%,,
0%,MD-509,,,,,0.00%,0.00%,
0%,MP-500,,,,0.00%,0.00%,0.00%,0.00%
0%,NC-511,,,,,,,0.00%
0%,NJ-512,0.00%,0.00%,,,,,0.00%
0%,NY-513,,0.00%,,,,,
0%,NY-519,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%
0%,NY-520,0.00%,,,,,,
0%,NY-606,,0.00%,,,,0.00%,
0%,NY-607,,,,0.00%,0.00%,,
0%,OK-503,0.00%,0.00%,,,,,
0%,OK-504,0.00%,0.00%,,,,,
0%,OR-507,0.00%,,,,,,
0%,TN-510,,,,0.00%,,,
0%,TX-624,,,,,0.00%,,
0%,VA-504,0.00%,,,,,,
0%,GA-502,,,,0.40%,,,
0%,OR-507,,,0.50%,,,,
1%,OR-507,,0.50%,,,,,
1%,IA-500,,0.60%,,,,,
1%,MN-504,0.70%,,,,,,
1%,NJ-513,,,0.80%,,,,
1%,OK-507,,,,,0.80%,,
1%,OR-507,,,,,,0.80%,
1%,IL-500,0.90%,,,,,,
1%,IL-504,,,,,,,0.90%
1%,CA-516,,,,,0.90%,,
1%,NJ-511,,0.90%,,,,,
1%,FL-514,,,,,,1.00%,
1%,MA-517,,,1.00%,,,,
1%,FL-514,,,,1.00%,,,
1%,LA-506,,,1.10%,,,,
1%,CA-524,,,,1.10%,,,
1%,NY-504,1.10%,,,,,,
1%,KS-503,,,,,,,1.10%
1%,AR-501,,,,,,1.10%,
1%,IL-503,,,,,,,1.10%
1%,CA-612,,,,,,1.10%,
1%,OK-503,,,,,,1.20%,
1%,GA-502,,,,,1.20%,,
1%,MT-500,,,1.20%,,,,
1%,NJ-513,,1.20%,,,,,
1%,TN-510,,,,,,1.30%,
1%,TN-512,,,,,,,1.30%
1%,CA-516,,,,1.30%,,,
1%,VI-500,,,,,1.30%,,
1%,LA-505,,,,1.30%,,,
1%,OK-503,,,,,,,1.40%
1%,NY-507,1.40%,,,,,,
1%,MD-500,,,,1.40%,,,
2%,NC-511,1.50%,,,,,,
2%,OR-507,,,,,1.50%,,
2%,NJ-510,,1.50%,,,,,
2%,MT-500,,,,,1.50%,,
2%,CA-607,,,,,,,1.60%
2%,NJ-507,,,,1.60%,,,
2%,IA-500,,,,,1.60%,,
2%,CA-607,,,,,,1.60%,
2%,MA-516,,1.70%,,,,,
2%,MS-503,,,1.70%,,,,
2%,MN-504,,,,,,,1.70%
2%,TN-507,,,1.80%,,,,
2%,CA-612,,,1.80%,,,,
2%,MA-519,,,,1.80%,,,
2%,GA-503,1.80%,,,,,,
2%,MA-504,,1.80%,,,,,
2%,MO-602,,1.90%,,,,,
2%,MA-516,,,,,1.90%,,
2%,MS-503,1.90%,,,,,,
2%,TN-503,1.90%,,,,,,
2%,MI-511,,,,,1.90%,,
2%,MD-500,,,2.00%,,,,
2%,NJ-510,2.00%,,,,,,
2%,GA-502,,,,,,,2.10%
2%,MN-504,,2.10%,,,,,
2%,MO-603,,,,,,2.10%,
2%,NY-606,,,,,,,2.10%
2%,OK-503,,,,,2.10%,,
2%,LA-505,,,,,,2.20%,
2%,MD-508,,2.20%,,,,,
2%,TN-507,,2.20%,,,,,
2%,MA-504,,,,,,2.20%,
2%,TN-507,,,,2.20%,,,
2%,CA-607,,,2.20%,,,,
2%,TN-506,,,,2.30%,,,
2%,AL-507,,2.30%,,,,,
2%,MA-504,,,2.30%,,,,
2%,MI-511,,,,,,2.30%,
2%,NJ-508,,,,,2.30%,,
2%,LA-503,,,,,,,2.30%
2%,IL-520,2.30%,,,,,,
2%,TN-507,2.30%,,,,,,
2%,MT-500,2.40%,,,,,,
2%,NJ-511,2.40%,,,,,,
2%,OK-507,,,,,,,2.40%
2%,CA-530,,,,,,,2.40%
2%,MS-501,,,,,2.40%,,
2%,MA-515,,,,,,2.40%,
2%,MD-507,,,,2.40%,,,
2%,TN-512,,,,,,2.40%,
3%,CA-526,2.50%,,,,,,
3%,ID-500,,,,2.50%,,,
3%,MS-503,,2.50%,,,,,
3%,MA-510,,,,,2.50%,,
3%,IA-500,,,,,,2.50%,
3%,NJ-502,,2.60%,,,,,
3%,OR-502,2.60%,,,,,,
3%,NJ-507,,,,,2.60%,,
3%,IL-508,,,,2.60%,,,
3%,CA-519,,2.60%,,,,,
3%,NY-516,,,,,2.60%,,
3%,NY-516,,,,2.70%,,,
3%,TN-506,2.70%,,,,,,
3%,MT-500,,2.70%,,,,,
3%,TN-507,,,,,,,2.70%
3%,NC-511,,,,,2.70%,,
3%,FL-606,,,,,2.80%,,
3%,NY-606,2.80%,,,,,,
3%,NC-511,,,,,,2.80%,
3%,KS-505,,,,,2.80%,,
3%,TX-701,,2.80%,,,,,
3%,CA-526,,,,2.90%,,,
3%,MA-517,,2.90%,,,,,
3%,OR-507,,,,2.90%,,,
3%,GA-503,,,,,2.90%,,
3%,NC-513,,,2.90%,,,,
3%,MA-504,,,,,2.90%,,
3%,TN-506,,,,,3.00%,,
3%,CA-516,,,,,,3.00%,
3%,TN-512,,,3.00%,,,,
3%,MA-519,,,,,3.00%,,
3%,MD-507,,,,,3.00%,,
3%,MD-512,,,,,3.00%,,
3%,MA-519,,,3.00%,,,,
3%,MA-502,,3.00%,,,,,
3%,NJ-511,,,,3.00%,,,
3%,NJ-511,,,3.00%,,,,
3%,MT-500,,,,3.10%,,,
3%,MN-504,,,,,3.10%,,
3%,MA-504,,,,,,,3.10%
3%,MD-512,,3.10%,,,,,
3%,MN-502,,3.10%,,,,,
3%,CA-611,,,,,,3.20%,
3%,NV-502,,,,3.20%,,,
3%,NJ-511,,,,,,3.20%,
3%,NJ-510,,,,,,,3.20%
3%,LA-507,,,3.20%,,,,
3%,MO-602,3.20%,,,,,,
3%,NY-604,3.20%,,,,,,
3%,OK-502,3.30%,,,,,,
3%,IL-504,3.30%,,,,,,
3%,PA-501,,,,,3.30%,,
3%,MD-502,,,,,3.30%,,
3%,MN-509,3.30%,,,,,,
3%,IL-504,,,,3.30%,,,
3%,MI-511,,,,3.30%,,,
3%,KS-505,,,3.30%,,,,
3%,NY-504,,3.40%,,,,,
3%,CA-606,,,,,,3.40%,
3%,IL-503,,,,,3.40%,,
3%,MA-505,,,,,,3.40%,
3%,CA-607,3.40%,,,,,,
3%,MN-511,3.40%,,,,,,
3%,MA-502,,,3.50%,,,,
3%,CA-611,,,,3.50%,,,
3%,KS-503,,,,3.50%,,,
3%,PA-603,,3.50%,,,,,
3%,WA-501,3.50%,,,,,,
4%,MA-504,,,,3.50%,,,
4%,MA-515,,,,,3.50%,,
4%,NJ-511,,,,,3.50%,,
4%,NJ-509,,3.50%,,,,,
4%,GA-502,,,3.50%,,,,
4%,GA-508,,,,,,3.50%,
4%,VA-502,3.60%,,,,,,
4%,IL-516,,,3.60%,,,,
4%,MT-500,,,,,,3.60%,
4%,FL-519,3.60%,,,,,,
4%,GA-508,,,,3.60%,,,
4%,MA-519,,3.60%,,,,,
4%,NJ-508,,,,,,3.60%,
4%,MN-511,,,,,,3.60%,
4%,IL-504,,,,,,3.70%,
4%,CA-524,,,3.70%,,,,
4%,PA-600,,,,3.70%,,,
4%,IA-500,,,,3.70%,,,
4%,NJ-507,,,3.70%,,,,
4%,KS-505,,,,3.70%,,,
4%,GA-506,,,,,,,3.70%
4%,MS-500,,,,3.70%,,,
4%,MO-503,3.80%,,,,,,
4%,MD-508,,,3.80%,,,,
4%,MD-600,,,,3.80%,,,
4%,NJ-513,3.80%,,,,,,
4%,MS-503,,,,,,,3.80%
4%,PA-501,3.80%,,,,,,
4%,MD-504,3.80%,,,,,,
4%,NJ-508,,,,,,,3.80%
4%,MA-517,3.90%,,,,,,
4%,OK-504,,,,3.90%,,,
4%,VA-501,,3.90%,,,,,
4%,MA-515,,,,,,,3.90%
4%,MA-516,,,,,,,3.90%
4%,NJ-507,,,,,,4.00%,
4%,FL-514,,,4.00%,,,,
4%,NJ-504,,4.00%,,,,,
4%,MA-516,,,4.00%,,,,
4%,MS-501,,,,,,4.00%,
4%,MA-510,,,4.00%,,,,
4%,CA-607,,,,,4.00%,,
4%,MO-603,,,,,4.00%,,
4%,KS-505,,,,,,,4.10%
4%,MA-504,4.10%,,,,,,
4%,MN-502,,,,,4.10%,,
4%,CA-612,4.10%,,,,,,
4%,TN-510,,,,,,,4.10%
4%,OR-505,,4.10%,,,,,
4%,IL-504,,,4.10%,,,,
4%,VA-507,4.10%,,,,,,
4%,MN-502,4.10%,,,,,,
4%,MD-504,,,,4.10%,,,
4%,MD-600,,,4.20%,,,,
4%,MA-515,,,,4.20%,,,
4%,MA-516,4.20%,,,,,,
4%,AK-501,,4.20%,,,,,
4%,AR-512,4.20%,,,,,,
4%,IL-504,,4.20%,,,,,
4%,MA-517,,,,4.20%,,,
4%,MA-505,,,,,,,4.20%
4%,MD-512,,,4.20%,,,,
4%,OK-500,,,,,4.20%,,
4%,NC-511,,,,4.20%,,,
4%,MN-508,4.20%,,,,,,
4%,PA-502,,,,4.20%,,,
4%,TX-624,,,,4.20%,,,
4%,CA-607,,,,4.30%,,,
4%,MA-519,,,,,,4.30%,
4%,MO-606,4.30%,,,,,,
4%,TX-701,,,,,,,4.30%
4%,MD-514,,,,,,4.30%,
4%,PA-501,,4.30%,,,,,
4%,CA-612,,,,4.30%,,,
4%,TN-506,,,,,,4.30%,
4%,NJ-508,,4.30%,,,,,
4%,TN-504,4.30%,,,,,,
4%,CA-612,,,,,4.30%,,
4%,NJ-512,,,4.30%,,,,
4%,MT-500,,,,,,,4.40%
4%,KS-507,,,,,,4.40%,
4%,MD-600,4.40%,,,,,,
4%,NY-511,,4.40%,,,,,
4%,MA-508,,,,4.40%,,,
4%,PA-511,,,,4.40%,,,
4%,OK-503,,,,4.40%,,,
4%,CA-606,4.40%,,,,,,
4%,GA-501,,,,,4.40%,,
4%,MN-504,,,,,,4.50%,
4%,CA-526,,4.50%,,,,,
4%,LA-506,,,,,,,4.50%
4%,NJ-504,4.50%,,,,,,
4%,NJ-516,4.50%,,,,,,
4%,NJ-513,,,,,,4.50%,
4%,NV-502,4.50%,,,,,,
4%,OR-506,,,,,4.50%,,
5%,MO-503,,,,,4.50%,,
5%,IL-504,,,,,4.50%,,
5%,FL-520,,,,,,,4.50%
5%,PA-509,4.50%,,,,,,
5%,IL-509,,4.50%,,,,,
5%,MI-502,,,,4.50%,,,
5%,MS-501,,,4.50%,,,,
5%,PA-511,,,,,4.50%,,
5%,MN-511,,,,4.60%,,,
5%,FL-504,,,,,,,4.60%
5%,CA-611,,,,,4.60%,,
5%,CA-611,4.60%,,,,,,
5%,MN-503,,,4.60%,,,,
5%,IL-508,,,,,,,4.60%
5%,VA-501,,,4.60%,,,,
5%,NJ-501,,4.60%,,,,,
5%,MA-508,,,4.70%,,,,
5%,TN-506,,,4.70%,,,,
5%,LA-505,,,,,,,4.70%
5%,CA-516,,,,,,,4.70%
5%,IL-507,,,4.70%,,,,
5%,IL-518,,,4.70%,,,,
5%,LA-506,,4.70%,,,,,
5%,MN-508,,,4.70%,,,,
5%,PA-509,,4.70%,,,,,
5%,MS-503,,,,,4.70%,,
5%,IA-500,,,4.70%,,,,
5%,OR-505,,,,,,4.70%,
5%,CA-526,,,4.70%,,,,
5%,MS-501,,,,,,,4.70%
5%,GA-508,,,,,4.80%,,
5%,TN-512,,4.80%,,,,,
5%,PA-501,,,,,,,4.80%
5%,CA-523,,,,,,4.80%,
5%,MA-516,,,,,,4.80%,
5%,GA-503,,,,,,,4.80%
5%,NJ-515,,4.90%,,,,,
5%,KS-503,,,4.90%,,,,
5%,LA-503,,,,,,4.90%,
5%,PA-600,,,,,4.90%,,
5%,MA-516,,,,4.90%,,,
5%,GA-508,,,,,,,4.90%
5%,LA-503,,,,,4.90%,,
5%,MD-508,,,,,5.00%,,
5%,CA-606,,,,,,,5.00%
5%,KS-505,5.00%,,,,,,
5%,LA-509,,,,,,,5.00%
5%,MA-509,,,5.00%,,,,
5%,OR-504,,,,,5.00%,,
5%,PA-501,,,5.00%,,,,
5%,NJ-507,,,,,,,5.00%
5%,GA-502,,5.00%,,,,,
5%,FL-509,5.10%,,,,,,
5%,FL-519,,,,5.10%,,,
5%,CA-506,,5.10%,,,,,
5%,NC-513,,,,,,5.10%,
5%,NY-522,5.10%,,,,,,
5%,PA-502,,,,,,5.10%,
5%,IL-500,,,,,5.10%,,
5%,MN-511,,5.20%,,,,,
5%,OR-506,,,,5.20%,,,
5%,NJ-511,,,,,,,5.20%
5%,PA-511,,,5.20%,,,,
5%,NY-606,,,,,5.20%,,
5%,FL-514,,,,,5.20%,,
5%,GA-503,,,,,,5.20%,
5%,MI-513,5.20%,,,,,,
5%,NJ-514,,,5.20%,,,,
5%,MD-600,,,,,5.20%,,
5%,PA-508,,5.20%,,,,,
5%,IL-515,,,,,,,5.20%
5%,PA-509,,,,,5.30%,,
5%,CA-527,,,,5.30%,,,
5%,FL-606,5.30%,,,,,,
5%,KS-505,,,,,,5.30%,
5%,OK-502,,,,,,5.30%,
5%,MA-505,,5.30%,,,,,
5%,CA-606,,,,5.30%,,,
5%,MA-519,5.30%,,,,,,
5%,MN-503,5.30%,,,,,,
5%,MA-515,,,5.30%,,,,
5%,NJ-507,,5.30%,,,,,
5%,MS-501,,,,5.30%,,,
5%,MI-511,,,,,,,5.30%
5%,PA-509,,,5.30%,,,,
5%,TN-507,,,,,,5.30%,
5%,IL-515,,,,,,5.30%,
5%,CO-505,,,,,5.30%,,
5%,LA-506,,,,,,5.30%,
5%,NJ-501,,,,,5.30%,,
5%,PA-600,,,5.30%,,,,
5%,MI-502,,5.40%,,,,,
5%,LA-507,,,,5.40%,,,
5%,MO-500,,,,,,5.40%,
5%,IL-512,5.40%,,,,,,
5%,OK-507,,,,,,5.40%,
5%,PA-500,,,5.40%,,,,
5%,WA-504,,5.40%,,,,,
5%,LA-505,,,,,5.40%,,
5%,MD-509,,,5.40%,,,,
5%,OR-506,,,,,,5.40%,
5%,TN-507,,,,,5.40%,,
5%,TX-601,5.50%,,,,,,
5%,IL-515,,,,,5.50%,,
5%,NJ-502,,,5.50%,,,,
5%,CA-602,5.50%,,,,,,
5%,IL-500,,,,,,5.50%,
5%,TX-604,,,,5.50%,,,
6%,MA-505,,,5.50%,,,,
6%,CA-614,,,,,,,5.50%
6%,CA-611,,,5.50%,,,,
6%,MA-507,5.50%,,,,,,
6%,TN-503,,,5.50%,,,,
6%,GA-506,,,,5.50%,,,
6%,MD-509,5.60%,,,,,,
6%,VA-501,5.60%,,,,,,
6%,GA-506,,,,,,5.60%,
6%,CA-606,,5.60%,,,,,
6%,NY-504,,,,,5.60%,,
6%,SC-501,,,,5.60%,,,
6%,CA-614,,,,5.60%,,,
6%,ND-500,5.60%,,,,,,
6%,OH-508,5.60%,,,,,,
6%,MI-523,,5.60%,,,,,
6%,MD-502,,,,5.60%,,,
6%,OK-503,,,5.70%,,,,
6%,GA-501,,,,5.70%,,,
6%,IL-508,,,,,,5.70%,
6%,CO-505,,,,,,,5.70%
6%,MN-502,,,,5.70%,,,
6%,FL-505,,,5.70%,,,,
6%,LA-506,,,,,5.70%,,
6%,IL-518,,,,,5.70%,,
6%,NY-518,,,5.70%,,,,
6%,VA-513,,,,,,5.70%,
6%,MO-500,,5.70%,,,,,
6%,GA-504,,,,,,,5.70%
6%,OK-502,,,,,,,5.70%
6%,MN-508,,5.70%,,,,,
6%,MO-503,,,,,,,5.80%
6%,NJ-513,,,,5.80%,,,
6%,FL-605,,5.80%,,,,,
6%,OR-505,,,5.80%,,,,
6%,NJ-501,,,,,,,5.80%
6%,NJ-514,,,,,5.80%,,
6%,MN-501,5.80%,,,,,,
6%,MN-508,,,,5.80%,,,
6%,IL-503,,,,5.80%,,,
6%,GA-503,,,,5.80%,,,
6%,SC-501,,,5.90%,,,,
6%,MS-503,,,,,,5.90%,
6%,NC-509,,,,,,,5.90%
6%,FL-519,,,,,5.90%,,
6%,MI-502,,,,,5.90%,,
6%,NY-504,,,5.90%,,,,
6%,NY-514,,,,,5.90%,,
6%,VI-500,,5.90%,,,,,
6%,VA-513,5.90%,,,,,,
6%,LA-506,,,,5.90%,,,
6%,PA-502,,,,,5.90%,,
6%,LA-505,,5.90%,,,,,
6%,CA-614,,6.00%,,,,,
6%,WA-504,,,6.00%,,,,
6%,PA-601,,,,,,,6.00%
6%,NJ-501,,,,,,6.00%,
6%,MA-505,,,,6.00%,,,
6%,MN-504,,,,6.00%,,,
6%,PA-502,,6.00%,,,,,
6%,MO-500,,,,,,,6.00%
6%,GU-500,,,,,,6.00%,
6%,PA-502,,,6.00%,,,,
6%,NC-513,,,,,,,6.00%
6%,MN-502,,,6.00%,,,,
6%,MN-506,6.00%,,,,,,
6%,NY-522,,,,,,6.00%,
6%,VA-505,,6.00%,,,,,
6%,GA-505,,,,,,,6.10%
6%,NJ-502,6.10%,,,,,,
6%,NY-507,,6.10%,,,,,
6%,TX-624,,,6.10%,,,,
6%,NJ-508,,,,6.10%,,,
6%,TN-506,,6.10%,,,,,
6%,NV-502,,,6.10%,,,,
6%,NJ-514,,,,6.10%,,,
6%,MA-519,,,,,,,6.10%
6%,VA-508,,,,6.10%,,,
6%,PR-503,6.10%,,,,,,
6%,PA-502,,,,,,,6.10%
6%,NJ-504,,,6.10%,,,,
6%,LA-508,6.10%,,,,,,
6%,NY-518,,6.20%,,,,,
6%,NJ-510,,,,,6.20%,,
6%,CA-602,,,6.20%,,,,
6%,MI-523,,,,6.20%,,,
6%,MD-502,,6.20%,,,,,
6%,VA-513,,6.20%,,,,,
6%,PA-509,,,,6.20%,,,
6%,MD-512,,,,6.20%,,,
6%,MN-501,,6.20%,,,,,
6%,NJ-501,,,,6.20%,,,
6%,OR-506,6.20%,,,,,,
6%,MO-604M,,,,,,,6.20%
6%,OR-506,,,6.20%,,,,
6%,KS-503,,,,,6.30%,,
6%,NY-513,,,,6.30%,,,
6%,NY-518,6.30%,,,,,,
6%,KS-507,,,,,,,6.30%
6%,ID-500,,,6.30%,,,,
6%,GA-506,,6.30%,,,,,
6%,OR-505,,,,,6.30%,,
6%,IL-519,6.30%,,,,,,
6%,TN-503,,6.30%,,,,,
6%,IL-508,,6.30%,,,,,
6%,MD-600,,6.30%,,,,,
6%,PA-510,,,,,,,6.30%
6%,TN-512,,,,6.40%,,,
6%,CA-614,,,,,6.40%,,
6%,VT-500,6.40%,,,,,,
6%,OK-502,,6.40%,,,,,
6%,NJ-514,,,,,,6.40%,
6%,PA-500,,,,6.40%,,,
6%,NJ-514,,6.40%,,,,,
6%,FL-603,,,,,6.40%,,
6%,VA-600,,,,,,6.40%,
6%,IL-500,,,6.40%,,,,
6%,OR-502,,,,,,6.40%,
6%,MN-508,,,,,,6.50%,
6%,NC-509,,,6.50%,,,,
6%,MD-511,,,,,,,6.50%
6%,MN-503,,,,,,,6.50%
6%,AR-501,,,,,6.50%,,
