Param 2 Return Timeframe,HUD CoC Number,2015,2016,2017,2018,2019,2020,2021
6%,NY-604,,6.50%,,,,,
6%,IL-512,,,,,6.50%,,
7%,OR-504,,,,,,,6.50%
7%,CA-606,,,6.50%,,,,
7%,TN-500,,,,,,,6.50%
7%,TX-600,6.50%,,,,,,
7%,AL-503,,,6.50%,,,,
7%,MN-505,,6.50%,,,,,
7%,MD-510,,6.50%,,,,,
7%,NV-502,,,,,,,6.50%
7%,CA-513,6.60%,,,,,,
7%,NJ-514,6.60%,,,,,,
7%,MA-510,,,,6.60%,,,
7%,GU-500,,,,6.60%,,,
7%,NY-514,,,,6.60%,,,
7%,MN-511,,,6.60%,,,,
7%,IL-501,,6.60%,,,,,
7%,MA-503,,,,,,,6.60%
7%,VT-501,,,,,6.60%,,
7%,VA-513,,,,,,,6.60%
7%,PA-510,,,6.70%,,,,
7%,CA-524,,,,,6.70%,,
7%,OK-504,,,,,,6.70%,
7%,MD-508,,,,6.70%,,,
7%,IL-502,,,,,,6.70%,
7%,FL-515,,,,,,6.70%,
7%,MA-502,6.70%,,,,,,
7%,CA-510,,6.70%,,,,,
7%,VT-501,,,,,,6.70%,
7%,AL-501,,,,,,,6.70%
7%,NY-510,,6.70%,,,,,
7%,CA-611,,,,,,,6.80%
7%,MS-503,,,,6.80%,,,
7%,SC-503,,,,,,,6.80%
7%,UT-503,,6.80%,,,,,
7%,MD-502,,,,,,6.80%,
7%,OR-506,,6.80%,,,,,
7%,MI-502,,,6.80%,,,,
7%,MO-501,,,,6.80%,,,
7%,VA-513,,,,,6.80%,,
7%,IL-500,,,,6.80%,,,
7%,TN-510,,,,,6.80%,,
7%,PA-509,,,,,,,6.80%
7%,NJ-500,,6.80%,,,,,
7%,MA-509,,,,,6.90%,,
7%,WA-501,,,,6.90%,,,
7%,OR-507,,,,,,,6.90%
7%,GA-504,,6.90%,,,,,
7%,NY-511,,,,6.90%,,,
7%,FL-520,,,,,,6.90%,
7%,CA-501,,,,,6.90%,,
7%,PA-601,,,6.90%,,,,
7%,MO-604M,,,,,,6.90%,
7%,PA-601,,,,,6.90%,,
7%,MD-507,,7.00%,,,,,
7%,NH-502,,,7.00%,,,,
7%,OK-507,,,7.00%,,,,
7%,NY-501,,,7.00%,,,,
7%,MI-523,,,,,7.00%,,
7%,MA-515,,7.00%,,,,,
7%,MA-503,,,7.00%,,,,
7%,FL-511,7.00%,,,,,,
7%,NJ-501,,,7.00%,,,,
7%,FL-605,7.00%,,,,,,
7%,AL-506,,,7.00%,,,,
7%,CA-514,,7.00%,,,,,
7%,MD-507,,,7.10%,,,,
7%,MN-511,,,,,,,7.10%
7%,FL-520,,,,7.10%,,,
7%,TX-701,,,7.10%,,,,
7%,NY-503,,,,,,,7.10%
7%,MO-602,,,7.10%,,,,
7%,AL-501,,,,,7.10%,,
7%,VT-501,,,,7.10%,,,
7%,FL-513,7.10%,,,,,,
7%,MO-606,,7.10%,,,,,
7%,MN-502,,,,,,7.10%,
7%,FL-517,7.10%,,,,,,
7%,GA-505,7.10%,,,,,,
7%,IL-508,,,,,7.10%,,
7%,IL-520,,,,,7.10%,,
7%,NC-513,,7.10%,,,,,
7%,TX-624,,,,,,7.10%,
7%,MI-502,7.10%,,,,,,
7%,ID-500,7.20%,,,,,,
7%,GA-506,,,,,7.20%,,
7%,NJ-516,,,,,7.20%,,
7%,MO-606,,,,,7.20%,,
7%,ID-500,,,,,7.20%,,
7%,NJ-516,,,,7.20%,,,
7%,OK-502,,,,,7.20%,,
7%,TX-600,,7.20%,,,,,
7%,FL-602,,,,7.20%,,,
7%,PA-511,,,,,,,7.20%
7%,CA-518,,,,,7.20%,,
7%,VA-505,,,,7.20%,,,
7%,IL-518,,,,,,7.20%,
7%,NJ-510,,,7.20%,7.20%,,,
7%,MI-503,,,,7.30%,,,
7%,NY-501,7.30%,,,,,,
7%,SC-501,,,,,7.30%,,
7%,WA-501,,,,,,7.30%,
7%,AL-501,,,,,,7.30%,
7%,PA-601,,,,,,7.30%,
7%,MN-506,,7.30%,,,,,
7%,FL-603,,,,,,7.30%,
7%,LA-506,7.30%,,,,,,
7%,ID-500,,,,,,7.30%,
7%,MA-505,,,,,7.30%,,
7%,CO-503,,,,,7.30%,,
7%,MD-504,,,,,7.30%,,
7%,MA-510,7.30%,,,,,,
7%,FL-520,,,,,7.30%,,
7%,GA-506,,,7.40%,,,,
7%,MN-505,,,,,,,7.40%
7%,NY-507,,,7.40%,,,,
7%,FL-510,,7.40%,,,,,
7%,MA-505,7.40%,,,,,,
7%,NY-525,,,,,7.40%,,
7%,OR-506,,,,,,,7.40%
7%,CA-606,,,,,7.40%,,
7%,WA-504,,,,,7.40%,,
7%,CO-505,,,,7.40%,,,
7%,MA-509,,7.40%,,,,,
7%,MD-506,7.40%,,,,,,
7%,AL-503,,,,7.40%,,,
7%,HI-500,,,,,,,7.40%
7%,MI-523,,,7.40%,,,,
7%,MN-508,,,,,,,7.50%
7%,FL-603,,,,,,,7.50%
7%,FL-505,,7.50%,,,,,
7%,NJ-503,7.50%,,,,,,
7%,WA-503,7.50%,,,,,,
8%,OR-504,,,,,,7.50%,
8%,IL-512,,,,,,7.50%,
8%,MS-500,,,7.50%,,,,
8%,MS-500,,,,,,7.50%,
8%,NY-511,,,7.50%,,,,
8%,FL-505,7.50%,,,,,,
8%,NY-520,,,,7.50%,,,
8%,OH-508,,,7.50%,,,,
8%,OR-502,,7.50%,,,,,
8%,NV-502,,,,,,7.60%,
8%,WA-504,7.60%,,,,,,
8%,OK-507,,,,7.60%,,,
8%,CA-526,,,,,7.60%,,
8%,NY-520,,7.60%,7.60%,,,,
8%,ID-500,,,,,,,7.60%
8%,LA-505,,,7.60%,,,,
8%,GA-508,,,7.60%,,,,
8%,PA-601,,,,7.60%,,,
8%,FL-602,,,,,,7.60%,
8%,WA-500,,7.60%,,,,,
8%,TN-500,,,,,,7.60%,
8%,FL-602,,,,,7.60%,,
8%,NY-523,,,,,,,7.70%
8%,VA-521,,7.70%,,,,,
8%,MD-514,,,,,,,7.70%
8%,TN-500,,,7.70%,,,,
8%,OK-500,,,7.70%,,,,
8%,VA-521,,,,,,,7.70%
8%,CA-520,,7.70%,,,,,
8%,FL-606,,,,,,,7.70%
8%,OR-505,,,,,,,7.70%
8%,MI-503,,,,,,7.70%,
8%,NC-511,,7.70%,,,,,
8%,NJ-514,,,,,,,7.70%
8%,MA-500,,,,,,7.70%,
8%,MO-503,,,,7.70%,,,
8%,PA-600,,,,,,7.70%,
8%,CA-507,,,,,7.70%,,
8%,VA-501,,,,7.70%,,,
8%,WA-501,,,,,7.80%,,
8%,KS-503,,,,,,7.80%,
8%,TX-607,,,,,,,7.80%
8%,NJ-500,,,7.80%,,,,
8%,NJ-516,,,,,,7.80%,
8%,TX-701,,,,,,7.80%,
8%,MN-509,,7.80%,,,,,
8%,FL-510,,,7.80%,,,,
8%,TN-506,,,,,,,7.80%
8%,TN-512,7.80%,,,,,,
8%,OR-505,,,,7.80%,,,
8%,CA-506,7.80%,,,,,,
8%,WA-504,,,,7.80%,,,
8%,FL-510,7.80%,,,,,,
8%,MN-503,,,,,7.80%,,
8%,NH-501,,,7.80%,,,,
